Merged_sample_name	Sample_name	Read1_file	Input	Filtered	Denoised	Merged	Tabled	Nonchim
AD001-E1Fract1_S1	AD001-E1Fract1_S1	AD001-E1Fract1_S1_L001_R1_001_noPrimers.fastq.gz	203072	189480	185836	149138	141242	124056
AD002-E1Fract2_S2	AD002-E1Fract2_S2	AD002-E1Fract2_S2_L001_R1_001_noPrimers.fastq.gz	193516	186934	183498	163226	152360	143686
AD003-E1Fract3_S3	AD003-E1Fract3_S3	AD003-E1Fract3_S3_L001_R1_001_noPrimers.fastq.gz	199058	189620	186576	144102	128744	117850
AD004-E1Fract4_S4	AD004-E1Fract4_S4	AD004-E1Fract4_S4_L001_R1_001_noPrimers.fastq.gz	165730	159410	155874	127524	114052	101274
AD005-E1Fract5_S5	AD005-E1Fract5_S5	AD005-E1Fract5_S5_L001_R1_001_noPrimers.fastq.gz	149802	146232	141792	125606	119508	103074
AD006-E1Fract6_S6	AD006-E1Fract6_S6	AD006-E1Fract6_S6_L001_R1_001_noPrimers.fastq.gz	170172	165784	161382	141646	136638	121854
AD007-E1Fract7_S7	AD007-E1Fract7_S7	AD007-E1Fract7_S7_L001_R1_001_noPrimers.fastq.gz	144592	140614	137168	120848	118116	105324
AD008-E1Fract8_S8	AD008-E1Fract8_S8	AD008-E1Fract8_S8_L001_R1_001_noPrimers.fastq.gz	96988	94386	92200	82296	80516	74026
AD009-E1Fract9_S9	AD009-E1Fract9_S9	AD009-E1Fract9_S9_L001_R1_001_noPrimers.fastq.gz	200064	190596	187686	150516	148626	136838
AD010-E1Fract10_S10	AD010-E1Fract10_S10	AD010-E1Fract10_S10_L001_R1_001_noPrimers.fastq.gz	203064	198270	193310	174086	171288	159704
AD011-E1Fract11_S11	AD011-E1Fract11_S11	AD011-E1Fract11_S11_L001_R1_001_noPrimers.fastq.gz	190264	184138	180418	151380	149672	137160
AD012-E1Fract12_S12	AD012-E1Fract12_S12	AD012-E1Fract12_S12_L001_R1_001_noPrimers.fastq.gz	199908	193726	189626	165036	163538	150918
AD013-E2Fract1_S13	AD013-E2Fract1_S13	AD013-E2Fract1_S13_L001_R1_001_noPrimers.fastq.gz	135846	131630	129216	116810	93528	87626
AD014-E2Fract2_S14	AD014-E2Fract2_S14	AD014-E2Fract2_S14_L001_R1_001_noPrimers.fastq.gz	183474	178546	175252	158392	140534	131576
AD015-E2Fract3_S15	AD015-E2Fract3_S15	AD015-E2Fract3_S15_L001_R1_001_noPrimers.fastq.gz	166100	157172	154874	138894	113880	96734
AD016-E2Fract4_S16	AD016-E2Fract4_S16	AD016-E2Fract4_S16_L001_R1_001_noPrimers.fastq.gz	166190	158932	156058	141328	113600	95834
AD017-E2Fract5_S17	AD017-E2Fract5_S17	AD017-E2Fract5_S17_L001_R1_001_noPrimers.fastq.gz	227684	218382	213382	192058	168652	137294
AD018-E2Fract6_S18	AD018-E2Fract6_S18	AD018-E2Fract6_S18_L001_R1_001_noPrimers.fastq.gz	154000	148566	143472	126968	118714	104656
AD019-E2Fract7_S19	AD019-E2Fract7_S19	AD019-E2Fract7_S19_L001_R1_001_noPrimers.fastq.gz	143520	140396	137210	124512	118586	108956
AD020-E2Fract8_S20	AD020-E2Fract8_S20	AD020-E2Fract8_S20_L001_R1_001_noPrimers.fastq.gz	99352	96668	94404	85700	80970	75008
AD021-E2Fract9_S21	AD021-E2Fract9_S21	AD021-E2Fract9_S21_L001_R1_001_noPrimers.fastq.gz	180178	175848	171410	155358	146774	135860
AD022-E2Fract10_S22	AD022-E2Fract10_S22	AD022-E2Fract10_S22_L001_R1_001_noPrimers.fastq.gz	233950	224606	220268	179176	173184	159182
AD023-E2Fract11_S23	AD023-E2Fract11_S23	AD023-E2Fract11_S23_L001_R1_001_noPrimers.fastq.gz	203760	197598	194004	167968	163288	152768
AD024-E2Fract12_S24	AD024-E2Fract12_S24	AD024-E2Fract12_S24_L001_R1_001_noPrimers.fastq.gz	236458	226888	222488	179964	177188	164128
AD025-E3Fract1_S25	AD025-E3Fract1_S25	AD025-E3Fract1_S25_L001_R1_001_noPrimers.fastq.gz	181040	175734	172280	151846	140996	132034
AD026-E3Fract2_S26	AD026-E3Fract2_S26	AD026-E3Fract2_S26_L001_R1_001_noPrimers.fastq.gz	239558	232546	227762	203102	195050	186400
AD027-E3Fract3_S27	AD027-E3Fract3_S27	AD027-E3Fract3_S27_L001_R1_001_noPrimers.fastq.gz	124570	121628	119424	109226	95970	90382
AD028-E3Fract4_S28	AD028-E3Fract4_S28	AD028-E3Fract4_S28_L001_R1_001_noPrimers.fastq.gz	196070	191318	186384	168568	157718	143014
AD029-E3Fract5_S29	AD029-E3Fract5_S29	AD029-E3Fract5_S29_L001_R1_001_noPrimers.fastq.gz	193190	189416	183524	167320	162196	143558
AD030-E3Fract6_S30	AD030-E3Fract6_S30	AD030-E3Fract6_S30_L001_R1_001_noPrimers.fastq.gz	208792	203298	197832	175758	172602	157548
AD031-E3Fract7_S31	AD031-E3Fract7_S31	AD031-E3Fract7_S31_L001_R1_001_noPrimers.fastq.gz	216158	212594	208064	194608	191986	178582
AD032-E3Fract8_S32	AD032-E3Fract8_S32	AD032-E3Fract8_S32_L001_R1_001_noPrimers.fastq.gz	167898	159516	156504	135462	134180	117422
AD033-E3Fract9_S33	AD033-E3Fract9_S33	AD033-E3Fract9_S33_L001_R1_001_noPrimers.fastq.gz	164308	159394	156674	135964	133724	125784
AD034-E3Fract10_S34	AD034-E3Fract10_S34	AD034-E3Fract10_S34_L001_R1_001_noPrimers.fastq.gz	261946	251512	247440	229824	227782	199186
AD035-E3Fract11_S35	AD035-E3Fract11_S35	AD035-E3Fract11_S35_L001_R1_001_noPrimers.fastq.gz	202822	196044	192148	169078	166774	156786
AD036-E3Fract12_S36	AD036-E3Fract12_S36	AD036-E3Fract12_S36_L001_R1_001_noPrimers.fastq.gz	240794	230286	226200	207150	205336	179740
AD037-E4Fract2_S37	AD037-E4Fract2_S37	AD037-E4Fract2_S37_L001_R1_001_noPrimers.fastq.gz	154658	151006	149514	136370	134266	127974
AD038-E4Fract3_S38	AD038-E4Fract3_S38	AD038-E4Fract3_S38_L001_R1_001_noPrimers.fastq.gz	125256	122364	119830	111168	109310	101678
AD039-E4Fract4_S39	AD039-E4Fract4_S39	AD039-E4Fract4_S39_L001_R1_001_noPrimers.fastq.gz	121260	118642	115938	107636	100068	91258
AD040-E4Fract5_S40	AD040-E4Fract5_S40	AD040-E4Fract5_S40_L001_R1_001_noPrimers.fastq.gz	178538	174078	171250	155056	152574	142370
AD041-E4Fract6_S41	AD041-E4Fract6_S41	AD041-E4Fract6_S41_L001_R1_001_noPrimers.fastq.gz	188820	184598	181868	170804	168372	158424
AD042-E4Fract7_S42	AD042-E4Fract7_S42	AD042-E4Fract7_S42_L001_R1_001_noPrimers.fastq.gz	208886	205064	199390	185396	182726	165418
AD043-E4Fract8_S43	AD043-E4Fract8_S43	AD043-E4Fract8_S43_L001_R1_001_noPrimers.fastq.gz	186212	183062	178234	166292	164798	149622
AD044-E4Fract9_S44	AD044-E4Fract9_S44	AD044-E4Fract9_S44_L001_R1_001_noPrimers.fastq.gz	174004	170760	165364	151100	149566	132742
AD045-E4Fract10_S45	AD045-E4Fract10_S45	AD045-E4Fract10_S45_L001_R1_001_noPrimers.fastq.gz	169370	165684	160944	148910	147032	136334
AD046-E4Fract11_S46	AD046-E4Fract11_S46	AD046-E4Fract11_S46_L001_R1_001_noPrimers.fastq.gz	260728	255260	250602	233622	229676	213428
AD047-F1Fract2_S47	AD047-F1Fract2_S47	AD047-F1Fract2_S47_L001_R1_001_noPrimers.fastq.gz	184724	181238	177780	164832	157722	148202
AD048-F1Fract3_S48	AD048-F1Fract3_S48	AD048-F1Fract3_S48_L001_R1_001_noPrimers.fastq.gz	156674	153428	149712	138448	131674	121998
AD049-F1Fract4_S49	AD049-F1Fract4_S49	AD049-F1Fract4_S49_L001_R1_001_noPrimers.fastq.gz	190798	184700	180492	155330	146922	132756
AD050-F1Fract5_S50	AD050-F1Fract5_S50	AD050-F1Fract5_S50_L001_R1_001_noPrimers.fastq.gz	195250	189364	182296	158154	153346	132734
AD051-F1Fract6_S51	AD051-F1Fract6_S51	AD051-F1Fract6_S51_L001_R1_001_noPrimers.fastq.gz	156870	154056	149394	136462	133830	118054
AD052-F1Fract7_S52	AD052-F1Fract7_S52	AD052-F1Fract7_S52_L001_R1_001_noPrimers.fastq.gz	132310	129872	125502	113976	113040	97550
AD053-F1Fract8_S53	AD053-F1Fract8_S53	AD053-F1Fract8_S53_L001_R1_001_noPrimers.fastq.gz	183382	179798	174704	159940	158140	143948
AD054-F1Fract9_S54	AD054-F1Fract9_S54	AD054-F1Fract9_S54_L001_R1_001_noPrimers.fastq.gz	31986	31274	30124	26972	26602	24516
AD055-F1Fract10_S55	AD055-F1Fract10_S55	AD055-F1Fract10_S55_L001_R1_001_noPrimers.fastq.gz	161878	158878	154958	142314	141194	129594
AD056-F1Fract11_S56	AD056-F1Fract11_S56	AD056-F1Fract11_S56_L001_R1_001_noPrimers.fastq.gz	95770	94018	90876	82388	81824	72482
AD057-I1Fract2_S57	AD057-I1Fract2_S57	AD057-I1Fract2_S57_L001_R1_001_noPrimers.fastq.gz	181110	176744	173066	159406	142296	132058
AD058-I1Fract3_S58	AD058-I1Fract3_S58	AD058-I1Fract3_S58_L001_R1_001_noPrimers.fastq.gz	43520	42466	41412	37678	31360	29280
AD059-I1Fract4_S59	AD059-I1Fract4_S59	AD059-I1Fract4_S59_L001_R1_001_noPrimers.fastq.gz	169528	165404	161662	149090	115466	105750
AD060-I1Fract5_S60	AD060-I1Fract5_S60	AD060-I1Fract5_S60_L001_R1_001_noPrimers.fastq.gz	198114	194274	189046	172630	149250	131684
AD061-I1Fract6_S61	AD061-I1Fract6_S61	AD061-I1Fract6_S61_L001_R1_001_noPrimers.fastq.gz	271656	266992	259360	236276	224074	190008
AD062-I1Fract7_S62	AD062-I1Fract7_S62	AD062-I1Fract7_S62_L001_R1_001_noPrimers.fastq.gz	213682	209888	203440	184372	178280	151964
AD063-I1Fract8_S63	AD063-I1Fract8_S63	AD063-I1Fract8_S63_L001_R1_001_noPrimers.fastq.gz	123174	120740	117034	107092	103374	91958
AD064-I1Fract9_S64	AD064-I1Fract9_S64	AD064-I1Fract9_S64_L001_R1_001_noPrimers.fastq.gz	68918	67304	65592	59178	57036	51292
AD065-I1Fract10_S65	AD065-I1Fract10_S65	AD065-I1Fract10_S65_L001_R1_001_noPrimers.fastq.gz	148204	145604	141336	129696	124664	111494
AD066-I1Fract11_S66	AD066-I1Fract11_S66	AD066-I1Fract11_S66_L001_R1_001_noPrimers.fastq.gz	197904	193742	188914	171188	168040	150848
AD067-I2Fract2_S67	AD067-I2Fract2_S67	AD067-I2Fract2_S67_L001_R1_001_noPrimers.fastq.gz	191240	186854	182796	167938	143416	131020
AD068-I2Fract3_S68	AD068-I2Fract3_S68	AD068-I2Fract3_S68_L001_R1_001_noPrimers.fastq.gz	188140	183528	179700	166864	132076	122324
AD069-I2Fract4_S69	AD069-I2Fract4_S69	AD069-I2Fract4_S69_L001_R1_001_noPrimers.fastq.gz	192762	187470	183458	169278	120930	110908
AD070-I2Fract5_S70	AD070-I2Fract5_S70	AD070-I2Fract5_S70_L001_R1_001_noPrimers.fastq.gz	194756	189864	184896	165558	134184	117842
AD071-I2Fract6_S71	AD071-I2Fract6_S71	AD071-I2Fract6_S71_L001_R1_001_noPrimers.fastq.gz	190060	186536	180962	163352	147104	126286
AD072-I2Fract7_S72	AD072-I2Fract7_S72	AD072-I2Fract7_S72_L001_R1_001_noPrimers.fastq.gz	175274	171944	166440	149618	140086	118824
AD073-I2Fract8_S73	AD073-I2Fract8_S73	AD073-I2Fract8_S73_L001_R1_001_noPrimers.fastq.gz	195606	192528	187590	172442	161624	140778
AD074-I2Fract9_S74	AD074-I2Fract9_S74	AD074-I2Fract9_S74_L001_R1_001_noPrimers.fastq.gz	202076	197996	193700	177318	165168	150600
AD075-I2Fract10_S75	AD075-I2Fract10_S75	AD075-I2Fract10_S75_L001_R1_001_noPrimers.fastq.gz	249738	244818	238820	220058	205272	187010
AD076-I2Fract11_S76	AD076-I2Fract11_S76	AD076-I2Fract11_S76_L001_R1_001_noPrimers.fastq.gz	183086	179390	175106	161362	153400	140888
AD077-I3Fract2_S77	AD077-I3Fract2_S77	AD077-I3Fract2_S77_L001_R1_001_noPrimers.fastq.gz	28	24	24	12	12	12
AD078-I3Fract3_S78	AD078-I3Fract3_S78	AD078-I3Fract3_S78_L001_R1_001_noPrimers.fastq.gz	134906	130930	128378	111350	96044	88382
AD079-I3Fract4_S79	AD079-I3Fract4_S79	AD079-I3Fract4_S79_L001_R1_001_noPrimers.fastq.gz	157934	154162	150198	136800	111490	101492
AD080-I3Fract5_S80	AD080-I3Fract5_S80	AD080-I3Fract5_S80_L001_R1_001_noPrimers.fastq.gz	222268	217502	210936	189640	165932	146154
AD081-I3Fract6_S81	AD081-I3Fract6_S81	AD081-I3Fract6_S81_L001_R1_001_noPrimers.fastq.gz	181088	177766	171178	150738	141182	117198
AD082-I3Fract7_S82	AD082-I3Fract7_S82	AD082-I3Fract7_S82_L001_R1_001_noPrimers.fastq.gz	80658	79208	76800	69614	67122	57948
AD083-I3Fract8_S83	AD083-I3Fract8_S83	AD083-I3Fract8_S83_L001_R1_001_noPrimers.fastq.gz	195636	192074	185480	166904	161966	140064
AD084-I3Fract9_S84	AD084-I3Fract9_S84	AD084-I3Fract9_S84_L001_R1_001_noPrimers.fastq.gz	164196	161112	155954	140778	136666	120358
AD085-I3Fract10_S85	AD085-I3Fract10_S85	AD085-I3Fract10_S85_L001_R1_001_noPrimers.fastq.gz	238004	233282	226210	206090	201776	177890
AD086-I3Fract11_S86	AD086-I3Fract11_S86	AD086-I3Fract11_S86_L001_R1_001_noPrimers.fastq.gz	235286	230262	223720	202082	199266	179428
AD087-I4Fract2_S87	AD087-I4Fract2_S87	AD087-I4Fract2_S87_L001_R1_001_noPrimers.fastq.gz	200102	196008	191102	174136	167864	151490
AD088-I4Fract3_S88	AD088-I4Fract3_S88	AD088-I4Fract3_S88_L001_R1_001_noPrimers.fastq.gz	188886	182116	177190	154120	148624	133360
AD089-I4Fract4_S89	AD089-I4Fract4_S89	AD089-I4Fract4_S89_L001_R1_001_noPrimers.fastq.gz	227564	223324	217578	200786	187146	167804
AD090-I4Fract5_S90	AD090-I4Fract5_S90	AD090-I4Fract5_S90_L001_R1_001_noPrimers.fastq.gz	186398	183166	177428	161468	155880	135476
AD091-I4Fract6_S91	AD091-I4Fract6_S91	AD091-I4Fract6_S91_L001_R1_001_noPrimers.fastq.gz	178962	175260	168732	153836	151608	130752
AD092-I4Fract7_S92	AD092-I4Fract7_S92	AD092-I4Fract7_S92_L001_R1_001_noPrimers.fastq.gz	170036	166902	161364	147036	145418	126398
AD093-I4Fract8_S93	AD093-I4Fract8_S93	AD093-I4Fract8_S93_L001_R1_001_noPrimers.fastq.gz	99652	97742	94996	87452	86518	75448
AD094-I4Fract9_S94	AD094-I4Fract9_S94	AD094-I4Fract9_S94_L001_R1_001_noPrimers.fastq.gz	165174	161422	157258	142274	140530	126166
AD095-I4Fract10_S95	AD095-I4Fract10_S95	AD095-I4Fract10_S95_L001_R1_001_noPrimers.fastq.gz	199992	195276	190012	168900	166396	149240
AD096-I4Fract11_S96	AD096-I4Fract11_S96	AD096-I4Fract11_S96_L001_R1_001_noPrimers.fastq.gz	160058	156342	151696	135920	133688	119534
AD097-J1Fract2_S97	AD097-J1Fract2_S97	AD097-J1Fract2_S97_L001_R1_001_noPrimers.fastq.gz	219684	212834	207992	184124	176678	159956
AD099-J1Fract4_S99	AD099-J1Fract4_S99	AD099-J1Fract4_S99_L001_R1_001_noPrimers.fastq.gz	73392	71888	70734	66267	63654	57666
AD100-J1Fract5_S100	AD100-J1Fract5_S100	AD100-J1Fract5_S100_L001_R1_001_noPrimers.fastq.gz	93274	91257	90161	80876	76859	66375
AD101-J1Fract6_S101	AD101-J1Fract6_S101	AD101-J1Fract6_S101_L001_R1_001_noPrimers.fastq.gz	82915	80660	79515	69353	68607	60249
AD102-J1Fract7_S102	AD102-J1Fract7_S102	AD102-J1Fract7_S102_L001_R1_001_noPrimers.fastq.gz	83946	82132	80838	74393	73646	65594
AD103-J1Fract8_S103	AD103-J1Fract8_S103	AD103-J1Fract8_S103_L001_R1_001_noPrimers.fastq.gz	102355	100486	98252	89742	88642	75299
AD104-J1Fract9_S104	AD104-J1Fract9_S104	AD104-J1Fract9_S104_L001_R1_001_noPrimers.fastq.gz	87987	85595	84325	75954	74589	65506
AD105-J1Fract10_S105	AD105-J1Fract10_S105	AD105-J1Fract10_S105_L001_R1_001_noPrimers.fastq.gz	131020	127931	125908	113232	111251	98368
AD106-J1Fract11_S106	AD106-J1Fract11_S106	AD106-J1Fract11_S106_L001_R1_001_noPrimers.fastq.gz	122432	115469	113978	97655	96779	84393
AD107-Negtve1_S107	AD107-Negtve1_S107	AD107-Negtve1_S107_L001_R1_001_noPrimers.fastq.gz	39484	35660	35144	26058	26052	24768
AD108-Negtve2_S108	AD108-Negtve2_S108	AD108-Negtve2_S108_L001_R1_001_noPrimers.fastq.gz	35363	32313	31934	22405	22405	20556
AD109-Negtve3_S109	AD109-Negtve3_S109	AD109-Negtve3_S109_L001_R1_001_noPrimers.fastq.gz	19740	17031	16802	6762	6762	4163
